Fixed/Offset Slit,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,1.9999765,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

631.00,8.49409277E+3,8.35130566E+3,9.07220703E+3,9.04782813E+3,9.60156348E+3,9.57021973E+3,1.00159951E+4,1.00020645E+4,1.07786865E+4,1.08796826E+4,1.11722227E+4,1.16563057E+4,1.21821797E+4,1.18165059E+4,1.27219844E+4,1.28821846E+4,1.28752207E+4,1.33175117E+4,1.39130391E+4,1.37075645E+4,1.38399033E+4,1.39409004E+4,1.42543340E+4,1.39687598E+4,1.43692607E+4,1.47105566E+4,1.47802090E+4,1.47871738E+4,1.47627959E+4,1.46896621E+4,1.49473750E+4,1.45120488E+4,1.49438906E+4,1.36170156E+4,
631.500,8.62578125E+3,8.95862012E+3,9.00416602E+3,9.09876172E+3,9.56824023E+3,9.75042578E+3,9.77144727E+3,1.02444287E+4,1.04090967E+4,1.08960918E+4,1.11798809E+4,1.11798809E+4,1.16808916E+4,1.20838008E+4,1.27214512E+4,1.28931250E+4,1.28650977E+4,1.31383750E+4,1.33661064E+4,1.39441953E+4,1.38110596E+4,1.37199678E+4,1.41053594E+4,1.41088623E+4,1.41789346E+4,1.48130801E+4,1.46659297E+4,1.46133770E+4,1.49041719E+4,1.48621299E+4,1.48376045E+4,1.45222842E+4,1.46343984E+4,1.35132568E+4,
632.00,8.75600781E+3,8.89348145E+3,8.94283105E+3,8.96045508E+3,9.14375391E+3,9.98622070E+3,9.58437402E+3,1.02294424E+4,1.04021660E+4,1.07652363E+4,1.07370371E+4,1.11177324E+4,1.16958271E+4,1.16711523E+4,1.22069463E+4,1.22069453E+4,1.30494131E+4,1.28414395E+4,1.32186113E+4,1.39905781E+4,1.37226807E+4,1.36169316E+4,1.44523477E+4,1.39976289E+4,1.46567959E+4,1.43007744E+4,1.45228477E+4,1.45651465E+4,1.45651465E+4,1.45475215E+4,1.44135732E+4,1.46285957E+4,1.39835273E+4,1.36733311E+4,
632.500,8.34191016E+3,8.46604590E+3,8.83490625E+3,9.05125586E+3,9.21085840E+3,9.46977051E+3,9.33144727E+3,9.93084473E+3,1.04344805E+4,1.04593076E+4,1.06153643E+4,1.11757480E+4,1.12005742E+4,1.16226357E+4,1.24596631E+4,1.25199590E+4,1.32115703E+4,1.33321602E+4,1.30165010E+4,1.34704824E+4,1.36690996E+4,1.38464355E+4,1.42259355E+4,1.38428887E+4,1.39847578E+4,1.43997246E+4,1.43961787E+4,1.45415947E+4,1.45486875E+4,1.43713516E+4,1.43819922E+4,1.45274082E+4,1.44954863E+4,1.37223008E+4,
633.00,8.16504688E+3,8.54689160E+3,8.74673535E+3,8.85022656E+3,9.10716797E+3,9.18567773E+3,9.59250293E+3,9.93509180E+3,1.01813281E+4,1.02705449E+4,1.08736445E+4,1.09378799E+4,1.11198799E+4,1.12126660E+4,1.18585889E+4,1.24438457E+4,1.25651797E+4,1.31397305E+4,1.27650234E+4,1.29755742E+4,1.31896914E+4,1.30540840E+4,1.40640078E+4,1.37820859E+4,1.40104785E+4,1.41425186E+4,1.41639297E+4,1.45100889E+4,1.41674990E+4,1.41996152E+4,1.43138125E+4,1.49026377E+4,1.42674199E+4,1.31754170E+4,
633.500,8.16473828E+3,8.54173828E+3,8.71767188E+3,8.96900391E+3,9.13057617E+3,9.17007129E+3,9.35318555E+3,9.94202344E+3,1.00497363E+4,1.04410986E+4,1.09509463E+4,1.11053369E+4,1.14248887E+4,1.12381836E+4,1.23404600E+4,1.22650596E+4,1.27390020E+4,1.30046973E+4,1.31483164E+4,1.32344883E+4,1.34535068E+4,1.34391445E+4,1.35145449E+4,1.33027070E+4,1.41500586E+4,1.39705352E+4,1.34714590E+4,1.42146875E+4,1.43367637E+4,1.40208027E+4,1.41536494E+4,1.42398203E+4,1.39884873E+4,1.35684014E+4,
634.00,8.22514160E+3,8.41298047E+3,8.72002344E+3,8.94398438E+3,9.29798633E+3,9.35217090E+3,9.07041406E+3,9.81454102E+3,1.02299521E+4,1.06562002E+4,1.03961172E+4,1.06995469E+4,1.10246523E+4,1.11727559E+4,1.20649863E+4,1.24442744E+4,1.24551123E+4,1.28235625E+4,1.25418066E+4,1.31811777E+4,1.32317500E+4,1.36796719E+4,1.33220566E+4,1.36579980E+4,1.35135078E+4,1.35062832E+4,1.32895469E+4,1.44671465E+4,1.37483047E+4,1.44382480E+4,1.41528789E+4,1.36760586E+4,1.42576348E+4,1.31956270E+4,
634.500,8.23119141E+3,8.19484961E+3,8.48557617E+3,8.68181641E+3,8.77630273E+3,8.93983594E+3,9.44497363E+3,9.72843164E+3,9.65938379E+3,9.80474707E+3,1.02226660E+4,1.09385801E+4,1.13601338E+4,1.11566250E+4,1.19742930E+4,1.20578770E+4,1.24249189E+4,1.24794297E+4,1.28246670E+4,1.29554932E+4,1.30499805E+4,1.29009824E+4,1.34497295E+4,1.34279248E+4,1.35296797E+4,1.35006055E+4,1.36786758E+4,1.40820596E+4,1.41947148E+4,1.40239131E+4,1.38167715E+4,1.42201533E+4,1.37113828E+4,1.30063711E+4,
635.00,8.18156445E+3,8.24736719E+3,8.51423633E+3,8.81400781E+3,8.71164648E+3,8.99314063E+3,9.35871484E+3,1.01410449E+4,9.97288086E+3,9.95825781E+3,1.02434053E+4,1.08868174E+4,1.10403584E+4,1.10622930E+4,1.22760020E+4,1.22175098E+4,1.24112637E+4,1.20493457E+4,1.29523145E+4,1.28207080E+4,1.26561992E+4,1.30181182E+4,1.34202510E+4,1.32338066E+4,1.35335801E+4,1.32228398E+4,1.35335781E+4,1.40015156E+4,1.41148418E+4,1.34494961E+4,1.39101211E+4,1.37492676E+4,1.40234492E+4,1.29047900E+4,
635.500,7.62274316E+3,8.07135645E+3,8.18902539E+3,8.40230078E+3,8.94651953E+3,8.89136230E+3,9.45764453E+3,9.28114160E+3,9.68195117E+3,9.67459668E+3,1.03695791E+4,1.04982793E+4,1.07483262E+4,1.09726328E+4,1.18551504E+4,1.23221484E+4,1.21346133E+4,1.25427773E+4,1.24140781E+4,1.22449277E+4,1.26530938E+4,1.31053828E+4,1.31789268E+4,1.31274453E+4,1.33260127E+4,1.32929180E+4,1.31274453E+4,1.38150742E+4,1.36790195E+4,1.34547129E+4,1.37231445E+4,1.33480752E+4,1.40467363E+4,1.29766826E+4,
636.00,7.75210596E+3,7.93333398E+3,8.18853174E+3,8.41414160E+3,8.92453809E+3,8.65084668E+3,9.10576563E+3,9.36466211E+3,9.48301465E+3,9.74191211E+3,9.96012500E+3,1.06258594E+4,1.08144834E+4,1.07479102E+4,1.15282988E+4,1.20645840E+4,1.19240410E+4,1.22938936E+4,1.25158047E+4,1.25269004E+4,1.28190830E+4,1.29633262E+4,1.30188047E+4,1.31889355E+4,1.28153848E+4,1.31075684E+4,1.30816797E+4,1.36364570E+4,1.36549502E+4,1.35365977E+4,1.40063096E+4,1.40728838E+4,1.38065898E+4,1.32333184E+4,
636.500,7.61886816E+3,7.83463672E+3,7.73047266E+3,8.27361426E+3,8.53402539E+3,8.99904395E+3,8.70143164E+3,9.21853223E+3,9.48266309E+3,1.00630059E+4,1.03420186E+4,1.02118125E+4,1.03978203E+4,1.07065928E+4,1.15808281E+4,1.16887129E+4,1.15027051E+4,1.20681680E+4,1.19714434E+4,1.26633926E+4,1.26224697E+4,1.26150293E+4,1.25815488E+4,1.27117539E+4,1.28866016E+4,1.29238027E+4,1.24848242E+4,1.33144180E+4,1.30837686E+4,1.32437344E+4,1.35859893E+4,1.31767734E+4,1.33478994E+4,1.27675557E+4,
637.00,7.51821387E+3,7.98599707E+3,7.88121338E+3,8.11697656E+3,8.36022363E+3,8.50991406E+3,8.88788379E+3,9.18352246E+3,9.50909961E+3,9.46419238E+3,1.01190889E+4,9.92074902E+3,1.07328203E+4,1.06991406E+4,1.14625635E+4,1.15037285E+4,1.19415732E+4,1.21436553E+4,1.21735938E+4,1.22259854E+4,1.23906455E+4,1.22446963E+4,1.22334697E+4,1.24130996E+4,1.31166445E+4,1.27536455E+4,1.31540674E+4,1.39998203E+4,1.26750576E+4,1.28546855E+4,1.32214277E+4,1.33786035E+4,1.32027168E+4,1.26825430E+4,
637.500,7.24389258E+3,7.79735059E+3,7.99313184E+3,8.10608203E+3,8.63694922E+3,8.38092871E+3,8.87414551E+3,8.81390527E+3,9.38995313E+3,9.51419922E+3,1.00676563E+4,9.95094043E+3,1.00111807E+4,1.07265342E+4,1.09976152E+4,1.14757734E+4,1.18033291E+4,1.17317930E+4,1.19765205E+4,1.22099512E+4,1.17732090E+4,1.24772676E+4,1.22099512E+4,1.23869063E+4,1.30344902E+4,1.27370537E+4,1.32905098E+4,1.31549707E+4,1.29554238E+4,1.31850898E+4,1.31926211E+4,1.33168652E+4,1.28349434E+4,1.20668799E+4,
638.00,7.85310791E+3,7.45912646E+3,8.01221582E+3,7.94023828E+3,8.47817383E+3,8.23193555E+3,8.50848047E+3,8.98580469E+3,9.16006445E+3,9.47070410E+3,9.90256836E+3,9.82680273E+3,1.06034004E+4,1.01185000E+4,1.10352637E+4,1.12171016E+4,1.14519756E+4,1.20202178E+4,1.20581006E+4,1.20126406E+4,1.25392129E+4,1.24975410E+4,1.26907432E+4,1.25202705E+4,1.23194922E+4,1.28536396E+4,1.27324141E+4,1.28536406E+4,1.26414961E+4,1.30468418E+4,1.34673418E+4,1.31983730E+4,1.28687930E+4,1.20126406E+4,
638.500,7.42169629E+3,7.56654785E+3,7.66565527E+3,7.68852734E+3,7.93248633E+3,8.27555371E+3,8.46995898E+3,8.95406641E+3,9.40767676E+3,9.75836816E+3,9.94133789E+3,1.00061396E+4,1.03149004E+4,1.04597510E+4,1.10086592E+4,1.13441035E+4,1.15156367E+4,1.17138535E+4,1.16795469E+4,1.13364795E+4,1.21903359E+4,1.21789004E+4,1.22398906E+4,1.24076133E+4,1.24724141E+4,1.24304844E+4,1.27201855E+4,1.26363242E+4,1.27735518E+4,1.25029092E+4,1.28726611E+4,1.32233516E+4,1.25524648E+4,1.24114248E+4,
639.00,7.29517871E+3,7.17627734E+3,7.79379785E+3,8.04694287E+3,7.76694873E+3,8.52254883E+3,8.89843066E+3,8.90610156E+3,8.94062109E+3,9.16691797E+3,9.38554297E+3,9.86881934E+3,1.01066221E+4,1.07509922E+4,1.10616699E+4,1.06397607E+4,1.15909727E+4,1.14874141E+4,1.15296045E+4,1.15487822E+4,1.20934277E+4,1.21739736E+4,1.20934277E+4,1.21432891E+4,1.21816445E+4,1.24347891E+4,1.20742500E+4,1.24156113E+4,1.24693105E+4,1.26534150E+4,1.24347891E+4,1.27416328E+4,1.26380723E+4,1.18748018E+4,
639.500,7.05450391E+3,7.31692529E+3,7.78774023E+3,7.87264160E+3,7.87264160E+3,8.59044141E+3,8.72937012E+3,8.67920117E+3,8.86443945E+3,8.81427051E+3,9.25807227E+3,9.71730957E+3,1.00646318E+4,1.00762090E+4,1.03617852E+4,1.11876406E+4,1.14654980E+4,1.16237236E+4,1.16623145E+4,1.13304297E+4,1.19556094E+4,1.18977217E+4,1.20212148E+4,1.26270986E+4,1.23299453E+4,1.23762549E+4,1.24148477E+4,1.23029316E+4,1.28740840E+4,1.23453818E+4,1.24225654E+4,1.23067900E+4,1.22797773E+4,1.14616396E+4,
640.00,7.19891699E+3,7.25716113E+3,7.34258496E+3,7.86289453E+3,7.63768555E+3,8.16964453E+3,8.07645508E+3,8.36379004E+3,8.67830664E+3,8.80255859E+3,9.80823340E+3,9.57914160E+3,9.80823340E+3,1.02625342E+4,1.02120566E+4,1.03867871E+4,1.13264512E+4,1.11284229E+4,1.15982549E+4,1.17652207E+4,1.19088887E+4,1.17496895E+4,1.17885176E+4,1.18584102E+4,1.20176094E+4,1.25495684E+4,1.23787207E+4,1.25068555E+4,1.21340977E+4,1.21496289E+4,1.24447305E+4,1.21535117E+4,1.22661162E+4,1.17302744E+4,
640.500,7.02108789E+3,6.98201660E+3,7.61496973E+3,7.83767480E+3,7.91191016E+3,8.39248633E+3,8.22838672E+3,8.80664063E+3,8.77929004E+3,9.12311719E+3,9.50210645E+3,9.18953711E+3,9.99049609E+3,1.00920811E+4,1.04046504E+4,1.06547061E+4,1.08774121E+4,1.10180684E+4,1.13618945E+4,1.13775225E+4,1.13697090E+4,1.13071953E+4,1.16666494E+4,1.16939990E+4,1.20651758E+4,1.19518691E+4,1.19674971E+4,1.22644375E+4,1.21433184E+4,1.19909404E+4,1.24480723E+4,1.22996016E+4,1.23816514E+4,1.12524951E+4,
641.00,7.19516016E+3,6.91600342E+3,7.37602148E+3,7.43106738E+3,7.95792578E+3,7.67483691E+3,8.44546680E+3,8.68923730E+3,8.98805273E+3,8.85830371E+3,9.29079980E+3,9.24754980E+3,9.50704688E+3,9.86483984E+3,1.06040146E+4,1.06905137E+4,1.05096523E+4,1.10561689E+4,1.11544639E+4,1.14218252E+4,1.14965293E+4,1.15830283E+4,1.15555059E+4,1.17874805E+4,1.18307305E+4,1.17874805E+4,1.20155244E+4,1.18110713E+4,1.21098867E+4,1.19486836E+4,1.23261348E+4,1.19919336E+4,1.15083242E+4,1.12527588E+4,
641.500,6.56442090E+3,7.03528711E+3,7.38349023E+3,7.26478418E+3,7.60111719E+3,7.74752051E+3,8.19068799E+3,8.13924902E+3,8.53889063E+3,8.94249023E+3,8.88709473E+3,9.21155664E+3,9.78134375E+3,9.76155957E+3,1.04104824E+4,1.05291885E+4,1.11504150E+4,1.07745137E+4,1.13245166E+4,1.10594072E+4,1.13917832E+4,1.15975391E+4,1.12730781E+4,1.17835117E+4,1.19853105E+4,1.12532930E+4,1.16133672E+4,1.19378291E+4,1.19971816E+4,1.18903467E+4,1.15263164E+4,1.19615703E+4,1.17479004E+4,1.13522148E+4,
642.00,6.98479688E+3,6.91311621E+3,7.40691016E+3,7.51044824E+3,7.55823438E+3,7.88079346E+3,7.74539844E+3,8.27901465E+3,8.68121777E+3,8.38653418E+3,8.66528906E+3,9.04359863E+3,9.57323242E+3,9.63694824E+3,1.02223330E+4,1.03099414E+4,1.05329453E+4,1.07917891E+4,1.08674512E+4,1.10665615E+4,1.09829346E+4,1.11541699E+4,1.15284980E+4,1.12577080E+4,1.10506328E+4,1.15603555E+4,1.16360176E+4,1.18948613E+4,1.20382207E+4,1.23966201E+4,1.20222910E+4,1.15205342E+4,1.19267188E+4,1.11063838E+4,
642.500,6.67285986E+3,6.65282129E+3,7.25397949E+3,7.17382471E+3,7.79101465E+3,7.53452051E+3,8.18377100E+3,8.50438867E+3,8.60458203E+3,8.35209570E+3,8.92520020E+3,9.22978711E+3,9.54238965E+3,1.01756094E+4,1.00353398E+4,1.02477490E+4,1.05363047E+4,1.08008145E+4,1.11013945E+4,1.06124512E+4,1.07968066E+4,1.11054023E+4,1.10012012E+4,1.17907227E+4,1.14340352E+4,1.22075254E+4,1.14941504E+4,1.16584678E+4,1.16664824E+4,1.16344219E+4,1.14220117E+4,1.17466367E+4,1.17546533E+4,1.08569229E+4,
643.00,6.56628223E+3,6.55014844E+3,7.00591602E+3,7.17128320E+3,7.68755078E+3,7.73595117E+3,7.79241797E+3,8.07878516E+3,8.33691992E+3,8.75235352E+3,8.67168652E+3,9.20812109E+3,9.02662109E+3,9.31702148E+3,1.01922578E+4,1.01398232E+4,1.06157578E+4,1.05633242E+4,1.08577578E+4,1.13336934E+4,1.11562256E+4,1.11118594E+4,1.10150586E+4,1.13498262E+4,1.12489922E+4,1.15232598E+4,1.17612275E+4,1.13457930E+4,1.15151934E+4,1.16119932E+4,1.14869600E+4,1.16240938E+4,1.13982266E+4,1.08093584E+4,
643.500,6.98150781E+3,6.73390820E+3,7.14792773E+3,7.14792773E+3,7.49700293E+3,7.84201953E+3,7.65530469E+3,8.15456348E+3,8.08150098E+3,8.52393359E+3,9.05972461E+3,9.04754688E+3,8.90548145E+3,9.72946191E+3,1.01272461E+4,1.03870225E+4,1.01313047E+4,1.08335146E+4,1.08416318E+4,1.08416328E+4,1.08132188E+4,1.08903398E+4,1.09390488E+4,1.11907080E+4,1.16656123E+4,1.11014102E+4,1.13003008E+4,1.16250225E+4,1.15966094E+4,1.14991934E+4,1.14139531E+4,1.08943994E+4,1.15884922E+4,1.05169111E+4,
644.00,6.72736621E+3,6.97244336E+3,6.89075098E+3,7.05413574E+3,7.05822070E+3,7.16850488E+3,7.89965186E+3,7.78528320E+3,8.13247559E+3,8.41431445E+3,8.60220703E+3,8.79418359E+3,9.10869922E+3,9.27616797E+3,9.79900000E+3,1.01625313E+4,1.00073154E+4,1.01584453E+4,1.05587383E+4,1.05709922E+4,1.06159238E+4,1.12735469E+4,1.13184775E+4,1.11142471E+4,1.07670547E+4,1.12980547E+4,1.12367852E+4,1.10897393E+4,1.11101621E+4,1.13429854E+4,1.16615859E+4,1.12408691E+4,1.14777773E+4,1.09345234E+4,
644.500,6.60896143E+3,6.69527246E+3,7.02818652E+3,7.16792871E+3,7.04051660E+3,7.75566504E+3,7.89129688E+3,7.93650781E+3,8.06802930E+3,8.20777051E+3,8.48725488E+3,9.28460449E+3,9.25994336E+3,9.21884277E+3,9.76548047E+3,1.02504658E+4,1.02545762E+4,1.04724082E+4,1.04641885E+4,1.07107920E+4,1.07066816E+4,1.04354180E+4,1.06738008E+4,1.11176875E+4,1.07107910E+4,1.12450977E+4,1.10519258E+4,1.11670078E+4,1.09615049E+4,1.14423809E+4,1.14012803E+4,1.12738691E+4,1.12820889E+4,1.07149023E+4,
645.00,6.75315430E+3,6.61255029E+3,6.79450879E+3,6.85240430E+3,7.15015527E+3,7.23700000E+3,6.99714551E+3,7.83250098E+3,8.12611670E+3,8.32875293E+3,8.62650391E+3,8.59341992E+3,8.92425488E+3,8.63063965E+3,9.46186035E+3,9.87953906E+3,1.03427061E+4,1.00863096E+4,1.05494785E+4,9.98292383E+3,1.05412070E+4,1.06197803E+4,1.05081240E+4,1.09340723E+4,1.07851973E+4,1.07314365E+4,1.10167813E+4,1.11904697E+4,1.04957178E+4,1.12359590E+4,1.12607715E+4,1.13186680E+4,1.11160313E+4,1.05246660E+4,
645.500,6.49520801E+3,6.74486426E+3,6.67412891E+3,6.96539355E+3,7.31075049E+3,7.21504883E+3,7.26498047E+3,7.83918848E+3,8.18038428E+3,7.85999316E+3,8.26776367E+3,8.45916602E+3,9.08330566E+3,9.09994922E+3,9.29967383E+3,9.55349023E+3,9.99870996E+3,1.00486406E+4,1.03731934E+4,1.07684814E+4,1.01984346E+4,1.03315840E+4,1.04938604E+4,1.02650098E+4,1.02691699E+4,1.11970566E+4,1.09557236E+4,1.10514248E+4,1.06103652E+4,1.10971953E+4,1.11304824E+4,1.13010801E+4,1.09640449E+4,1.07809648E+4,
646.00,6.38900781E+3,6.50623779E+3,6.79093750E+3,6.54810498E+3,7.07145117E+3,7.20124121E+3,7.30172314E+3,7.69527930E+3,8.14745020E+3,8.00510010E+3,8.34422852E+3,8.87176172E+3,9.12296680E+3,8.85920117E+3,9.87658594E+3,9.21926367E+3,9.76354395E+3,9.99800195E+3,9.98962891E+3,1.01864072E+4,1.03580645E+4,1.06302051E+4,1.02073408E+4,1.02868896E+4,1.05213486E+4,1.06008965E+4,1.07809277E+4,1.03999316E+4,1.11786709E+4,1.10991221E+4,1.08730371E+4,1.10195742E+4,1.08144219E+4,1.02952637E+4,
646.500,5.94474170E+3,6.71574609E+3,6.39554785E+3,6.39554785E+3,6.70310742E+3,7.14127393E+3,7.23817627E+3,7.71426123E+3,7.62157227E+3,7.76903174E+3,8.25775586E+3,8.63693848E+3,8.70013672E+3,8.61587305E+3,9.37002539E+3,9.61860156E+3,9.72814258E+3,1.00104229E+4,9.87981543E+3,9.93037305E+3,1.03601133E+4,1.01283906E+4,1.07477227E+4,1.05539180E+4,1.04317373E+4,1.07055908E+4,1.04485898E+4,1.07392969E+4,1.07940674E+4,1.07266572E+4,1.07856406E+4,1.09920850E+4,1.07477227E+4,1.05412793E+4,
647.00,6.33891211E+3,6.22018945E+3,6.65267676E+3,6.60179590E+3,6.52547461E+3,6.95796240E+3,7.25052734E+3,7.62789404E+3,7.07244434E+3,7.97558008E+3,8.45046875E+3,8.22574414E+3,8.39110742E+3,8.93807715E+3,8.99743750E+3,9.38328516E+3,9.78185254E+3,9.84545313E+3,9.84969336E+3,1.00828975E+4,1.05450654E+4,9.95993457E+3,1.04814639E+4,1.06510674E+4,1.01592188E+4,1.08715508E+4,1.04814639E+4,1.09054717E+4,1.07146680E+4,1.04899453E+4,1.07952305E+4,1.08545908E+4,1.14906016E+4,1.00956172E+4,
647.500,6.03007617E+3,6.35014355E+3,6.37574902E+3,6.58059229E+3,6.84518164E+3,6.84518164E+3,7.07136328E+3,7.48104932E+3,7.61761230E+3,7.95901709E+3,8.22787500E+3,8.03156641E+3,8.57781445E+3,8.61195508E+3,8.96616406E+3,9.41852539E+3,9.33317480E+3,9.19661230E+3,9.23075293E+3,1.00586621E+4,9.75139648E+3,9.97757715E+3,1.04384746E+4,9.92209961E+3,9.59349609E+3,1.03744619E+4,1.05494316E+4,1.03360537E+4,1.00330566E+4,1.07030645E+4,1.06262480E+4,1.08310918E+4,1.07244023E+4,1.04256719E+4,
648.00,6.27167188E+3,6.00963574E+3,6.48645508E+3,6.41772461E+3,6.53370703E+3,6.62821143E+3,6.95897754E+3,7.26826563E+3,7.32840527E+3,7.89113721E+3,7.89972852E+3,8.08873730E+3,8.39373047E+3,8.20472070E+3,8.87914063E+3,9.06814941E+3,8.95216602E+3,9.46764648E+3,9.41180273E+3,1.00905176E+4,9.67383789E+3,1.00905176E+4,1.00733350E+4,1.00432656E+4,1.05974063E+4,1.03181875E+4,1.02365703E+4,1.04857188E+4,1.05501543E+4,1.05029014E+4,1.07090938E+4,1.03697363E+4,1.07005020E+4,9.89291797E+3,
648.500,6.10600342E+3,5.91140723E+3,6.24005908E+3,6.54276465E+3,6.57735938E+3,6.73736035E+3,6.96222852E+3,7.09628320E+3,7.61953174E+3,7.48547656E+3,7.63250391E+3,8.05629199E+3,8.27683496E+3,8.05196777E+3,8.92116504E+3,9.37522363E+3,8.99467969E+3,9.55252246E+3,9.62603711E+3,9.33630469E+3,9.65630762E+3,1.00109063E+4,9.96766211E+3,1.03222598E+4,9.99360742E+3,1.00714463E+4,1.03828008E+4,1.00022568E+4,1.03698281E+4,1.07114531E+4,1.03871250E+4,1.04995586E+4,1.02400967E+4,9.85522852E+3,
649.00,5.89900098E+3,5.93382910E+3,6.29952344E+3,6.47801758E+3,6.48237109E+3,6.73052100E+3,6.93078223E+3,6.73922754E+3,7.27906250E+3,7.54027295E+3,7.67958496E+3,8.00174414E+3,8.21941992E+3,8.33696484E+3,8.68524512E+3,9.31215039E+3,9.15977734E+3,9.08576758E+3,9.32085742E+3,9.58641992E+3,9.38180566E+3,1.00304785E+4,9.59948145E+3,9.91728711E+3,1.01262559E+4,9.82586328E+3,1.01044883E+4,9.94776172E+3,1.06617363E+4,1.04397080E+4,1.04745352E+4,1.06269082E+4,1.02046191E+4,1.01262549E+4,
649.500,6.03086572E+3,5.81172070E+3,6.34205127E+3,6.21494727E+3,6.55681348E+3,6.37273145E+3,6.62693945E+3,7.18795020E+3,7.08276074E+3,7.29313965E+3,7.49913574E+3,7.70513184E+3,8.33626953E+3,8.07767822E+3,8.79647266E+3,9.01123535E+3,9.30050586E+3,9.11642480E+3,9.72126465E+3,9.62922363E+3,9.49335352E+3,9.50211914E+3,9.58101172E+3,1.01464053E+4,1.00587471E+4,9.76947656E+3,9.83960254E+3,1.03304873E+4,1.00061523E+4,1.05803125E+4,1.03699336E+4,1.04882715E+4,1.03567842E+4,9.87466602E+3,
650.00,6.09799902E+3,5.88178906E+3,6.04504980E+3,5.89943896E+3,6.27890918E+3,6.83487744E+3,6.61425537E+3,7.08638672E+3,7.19669775E+3,7.12609863E+3,7.58058105E+3,7.50556934E+3,7.84532715E+3,8.02623730E+3,8.43659473E+3,8.74105371E+3,9.01021289E+3,9.10287402E+3,9.32349609E+3,9.54411914E+3,9.07198730E+3,9.39850781E+3,9.65442969E+3,1.00647871E+4,9.57059375E+3,9.98095117E+3,9.93682617E+3,1.01309736E+4,1.01000869E+4,9.49558203E+3,9.83092773E+3,1.00294873E+4,1.06251680E+4,9.82651563E+3,
650.500,5.56599414E+3,5.97022852E+3,5.83696436E+3,6.42776855E+3,6.20566162E+3,6.25008252E+3,6.67208594E+3,7.10741504E+3,6.98303516E+3,7.09853125E+3,7.58716602E+3,7.61381836E+3,8.21350586E+3,8.19573828E+3,8.15131641E+3,8.37786523E+3,8.88426855E+3,9.09304883E+3,9.09304883E+3,8.93757422E+3,9.22631348E+3,9.29294531E+3,9.44397754E+3,9.65720020E+3,9.79490625E+3,9.78158008E+3,9.94149707E+3,9.69717969E+3,9.75048438E+3,9.91928613E+3,1.00880869E+4,1.00303398E+4,1.00392236E+4,9.62610547E+3,
651.00,5.69307227E+3,5.86748633E+3,6.46228516E+3,6.16264941E+3,6.33259180E+3,6.30128711E+3,6.45781250E+3,6.88266895E+3,7.27174805E+3,7.25385938E+3,7.44169043E+3,7.35224707E+3,7.52666162E+3,7.97835059E+3,8.07673828E+3,8.55078809E+3,9.12322656E+3,8.84595215E+3,8.91750586E+3,9.26633594E+3,8.89514551E+3,9.13217090E+3,9.04272656E+3,9.42286133E+3,9.31552930E+3,9.91032813E+3,9.05167188E+3,9.64199805E+3,9.84324512E+3,9.77169043E+3,1.03664893E+4,1.02681016E+4,9.79405176E+3,9.56597070E+3,
651.500,5.70503271E+3,5.64199365E+3,6.07876416E+3,5.98420605E+3,5.90765820E+3,6.42097656E+3,6.84874121E+3,6.56956836E+3,7.06937793E+3,6.91178027E+3,7.68175684E+3,7.63222656E+3,7.83935449E+3,7.55117676E+3,8.09151025E+3,8.49225879E+3,8.64985645E+3,8.73090625E+3,8.69038184E+3,8.85248145E+3,8.92002344E+3,8.93803516E+3,9.46035840E+3,9.12264941E+3,9.50088281E+3,9.16317383E+3,9.23972168E+3,9.93315137E+3,9.87911719E+3,9.41533008E+3,9.76204492E+3,9.44684961E+3,9.67198926E+3,9.33428027E+3,
652.00,5.27774316E+3,5.85811377E+3,5.96239941E+3,6.17096973E+3,6.16643555E+3,6.18457227E+3,6.15283301E+3,6.58357666E+3,6.64252051E+3,6.89189844E+3,7.27276660E+3,7.44052979E+3,7.49493994E+3,7.71257861E+3,8.18412939E+3,8.43804102E+3,9.01841211E+3,8.43350781E+3,8.83251172E+3,8.77810254E+3,8.66021484E+3,9.28592578E+3,8.82344336E+3,9.02294629E+3,8.86425098E+3,9.41288281E+3,9.55797461E+3,9.50356445E+3,9.73934082E+3,9.54890625E+3,9.09549219E+3,9.94337695E+3,9.72120508E+3,9.38114355E+3,
