Fixed/Offset Slit,5.9999781,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,
Detector,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,Visible PMT-980,

700.00,2.81055938E+4,2.94631641E+4,3.27756367E+4,3.64061680E+4,4.17123320E+4,4.53816484E+4,5.20608984E+4,5.87866914E+4,6.70872656E+4,7.88089219E+4,9.14459609E+4,1.06076695E+5,1.18364656E+5,1.32227391E+5,1.43941281E+5,1.49402594E+5,1.54336406E+5,1.57982453E+5,1.60922563E+5,1.61062188E+5,1.58028984E+5,1.55011313E+5,1.57928141E+5,1.54227797E+5,1.22041727E+5,1.21196156E+5,1.19342102E+5,1.18512047E+5,1.15657266E+5,1.15665023E+5,1.12243945E+5,
700.2500,1.89067441E+4,2.03138652E+4,2.32602695E+4,2.59190313E+4,2.87021777E+4,3.27836094E+4,3.72148789E+4,4.60774141E+4,5.36572148E+4,6.33049375E+4,7.76016094E+4,9.10664453E+4,1.02937578E+5,1.15003063E+5,1.24308727E+5,1.35853344E+5,1.42189281E+5,1.47747797E+5,1.50422109E+5,1.51611563E+5,1.52591109E+5,1.46426203E+5,1.53757219E+5,1.49007219E+5,1.21642195E+5,1.17949469E+5,1.19239977E+5,1.18905688E+5,1.17630727E+5,1.16169188E+5,1.13456008E+5,
700.500,1.84719453E+4,1.93756758E+4,2.36294434E+4,2.64419160E+4,2.97685801E+4,3.53701523E+4,4.21091797E+4,5.00635664E+4,6.05889141E+4,7.27191641E+4,8.63452422E+4,1.00532258E+5,1.15155555E+5,1.29358148E+5,1.40974203E+5,1.51663156E+5,1.60178484E+5,1.65741109E+5,1.69776734E+5,1.73337109E+5,1.73937000E+5,1.74887484E+5,1.75970406E+5,1.72191875E+5,1.40569078E+5,1.37546266E+5,1.35489500E+5,1.34803906E+5,1.33682031E+5,1.29872344E+5,1.28711516E+5,
700.7500,2.57098594E+4,2.82785039E+4,3.29941914E+4,3.59219766E+4,4.21054570E+4,4.77346133E+4,5.62681328E+4,6.66832422E+4,7.82304297E+4,9.46182188E+4,1.10155000E+5,1.29806297E+5,1.45358688E+5,1.64408813E+5,1.76010656E+5,1.86058813E+5,1.98214984E+5,2.05530547E+5,2.07505813E+5,2.09684094E+5,2.10667828E+5,2.09200031E+5,2.12408891E+5,2.07224750E+5,1.66399719E+5,1.63128406E+5,1.59591641E+5,1.58373672E+5,1.56749734E+5,1.50855125E+5,1.44101703E+5,
701.00,3.47389648E+4,3.70079492E+4,4.25395820E+4,4.86814961E+4,5.31646992E+4,6.16773086E+4,7.08784375E+4,8.06976719E+4,9.37952031E+4,1.10429219E+5,1.30897039E+5,1.50034766E+5,1.71050281E+5,1.86667156E+5,2.03160344E+5,2.14020188E+5,2.22884875E+5,2.30388188E+5,2.34339344E+5,2.34229813E+5,2.34159391E+5,2.33361344E+5,2.34699266E+5,2.26030172E+5,1.80493953E+5,1.75556953E+5,1.71527547E+5,1.71097219E+5,1.64243313E+5,1.56614828E+5,1.51411813E+5,
701.2500,3.74396094E+4,4.01054648E+4,4.57194453E+4,4.92007422E+4,5.53792578E+4,6.23183281E+4,7.16253047E+4,7.76548438E+4,9.17290000E+4,1.08171070E+5,1.27451484E+5,1.44999094E+5,1.63134766E+5,1.77938109E+5,1.92145563E+5,2.01123219E+5,2.11002578E+5,2.17479047E+5,2.22426563E+5,2.17275188E+5,2.16569516E+5,2.11277000E+5,2.13064703E+5,1.99876547E+5,1.58579281E+5,1.58391109E+5,1.54823563E+5,1.47680641E+5,1.43093797E+5,1.37965938E+5,1.31395391E+5,
701.500,2.87267910E+4,3.06125762E+4,3.49498828E+4,3.65135117E+4,4.17779961E+4,4.67203242E+4,5.19612344E+4,5.90643555E+4,6.91297344E+4,7.87865234E+4,9.25448984E+4,1.06782570E+5,1.20918102E+5,1.32224953E+5,1.40781703E+5,1.47177656E+5,1.54579359E+5,1.58602375E+5,1.60888891E+5,1.57926641E+5,1.56551578E+5,1.53282891E+5,1.52269281E+5,1.46737641E+5,1.12872086E+5,1.14050703E+5,1.11575609E+5,1.07041867E+5,1.03168156E+5,1.01745953E+5,9.67250547E+4,
701.7500,1.59451299E+4,1.63860820E+4,1.81183926E+4,1.98192070E+4,2.28113789E+4,2.56066973E+4,2.83862695E+4,3.16855332E+4,3.69060859E+4,4.43707695E+4,5.24575117E+4,6.00875508E+4,6.77333359E+4,7.66311172E+4,8.17335547E+4,8.70643516E+4,9.13872500E+4,9.33636563E+4,9.36392500E+4,9.60329922E+4,9.47416328E+4,9.46707656E+4,9.62928359E+4,9.13242578E+4,7.08593750E+4,7.36389453E+4,7.32373594E+4,7.16389141E+4,6.81585391E+4,6.89617031E+4,6.69931719E+4,
702.00,7.55944092E+3,7.40162354E+3,8.19070947E+3,9.24019336E+3,1.07473467E+4,1.16626865E+4,1.34302383E+4,1.61841475E+4,1.77780996E+4,2.14868027E+4,2.80519961E+4,3.24314219E+4,3.61480156E+4,4.10955820E+4,4.36995625E+4,4.80079727E+4,5.21033281E+4,5.41233867E+4,5.62302461E+4,5.85343750E+4,5.77295078E+4,5.96154219E+4,5.93629141E+4,6.06570156E+4,4.62167461E+4,4.84025156E+4,4.89627656E+4,4.66980898E+4,4.76213203E+4,4.77712461E+4,4.54355547E+4,
702.2500,3.71630347E+3,3.87444385E+3,4.10374756E+3,4.85491553E+3,5.73259570E+3,6.32562256E+3,7.55911914E+3,8.87168555E+3,1.04293701E+4,1.29912480E+4,1.53949844E+4,1.87791934E+4,2.15940938E+4,2.46778359E+4,2.81411152E+4,3.06555488E+4,3.31146367E+4,3.57239531E+4,3.59848867E+4,3.73448945E+4,3.93216523E+4,4.03337539E+4,4.12746875E+4,3.95272344E+4,3.31857969E+4,3.45774336E+4,3.53760469E+4,3.51467422E+4,3.48462734E+4,3.36523125E+4,3.45695273E+4,
702.500,2.89989648E+3,2.70181616E+3,3.27228760E+3,3.87445166E+3,4.32607520E+3,4.80939111E+3,5.41947852E+3,6.72680908E+3,7.95490723E+3,9.31770020E+3,1.11796553E+4,1.38814717E+4,1.63931309E+4,1.94356445E+4,2.02755059E+4,2.44035000E+4,2.46887363E+4,2.71766250E+4,2.80957168E+4,2.94109707E+4,3.03221406E+4,3.16215488E+4,3.25485645E+4,3.22316348E+4,2.72400098E+4,2.76995566E+4,2.75569395E+4,2.86186504E+4,2.86344961E+4,2.85156484E+4,2.85552637E+4,
702.7500,2.64382520E+3,2.87406812E+3,3.14400830E+3,3.39806958E+3,3.27103882E+3,4.11261670E+3,5.14474072E+3,6.08953125E+3,6.75644189E+3,8.88420508E+3,9.89251074E+3,1.18694248E+4,1.42512490E+4,1.65854375E+4,1.78875020E+4,1.99835078E+4,2.26432109E+4,2.42231543E+4,2.49456406E+4,2.63588574E+4,2.62080078E+4,2.72560117E+4,2.83992871E+4,2.82722559E+4,2.29925449E+4,2.38023652E+4,2.45010332E+4,2.46280645E+4,2.40008516E+4,2.55410977E+4,2.41913965E+4,
703.00,2.57762427E+3,2.60944678E+3,2.93562769E+3,3.36523169E+3,3.53230005E+3,4.02554907E+3,5.11547070E+3,5.61667529E+3,6.76228613E+3,8.00336475E+3,1.00877402E+4,1.16390879E+4,1.36041289E+4,1.55134795E+4,1.68659375E+4,1.94833398E+4,1.99845449E+4,2.19336738E+4,2.27451484E+4,2.34770664E+4,2.45033418E+4,2.66911406E+4,2.65320293E+4,2.68979883E+4,2.17109160E+4,2.20530078E+4,2.32304414E+4,2.26735469E+4,2.22678105E+4,2.29042617E+4,2.32702207E+4,
703.2500,2.95053027E+3,2.98242798E+3,3.24558350E+3,3.56455957E+3,4.33010254E+3,4.06694727E+3,5.37475000E+3,5.91700977E+3,7.14506787E+3,8.73994922E+3,1.06617813E+4,1.20493281E+4,1.38914160E+4,1.54304766E+4,1.76154629E+4,1.81098770E+4,2.01194277E+4,2.17940527E+4,2.31098301E+4,2.35244980E+4,2.38275254E+4,2.51831758E+4,2.51034316E+4,2.44495293E+4,2.16265898E+4,2.19694902E+4,2.05580195E+4,2.18020273E+4,2.10604063E+4,2.17701289E+4,2.13395117E+4,
703.500,3.32517578E+3,2.83758984E+3,3.63691089E+3,3.76480225E+3,4.45221826E+3,4.94779736E+3,5.09966846E+3,7.27382178E+3,8.35290527E+3,9.13624023E+3,1.06309707E+4,1.30209404E+4,1.51551279E+4,1.65299609E+4,1.85602363E+4,2.03746953E+4,2.14058184E+4,2.26687461E+4,2.33241895E+4,2.37398359E+4,2.52105879E+4,2.61218125E+4,2.62097383E+4,2.55383086E+4,2.19893223E+4,2.03187422E+4,2.18694258E+4,2.21651738E+4,2.17415332E+4,2.11820078E+4,2.19573496E+4,
703.7500,2.93240771E+3,3.39710620E+3,3.80572046E+3,4.06210571E+3,4.67903320E+3,5.37608105E+3,6.24138135E+3,7.27493506E+3,8.38860938E+3,1.05118008E+4,1.20501123E+4,1.35804131E+4,1.57917363E+4,1.79870371E+4,1.89404688E+4,2.05428789E+4,2.28022734E+4,2.37957676E+4,2.39399844E+4,2.63435977E+4,2.67762480E+4,2.76735957E+4,2.81463066E+4,2.67441992E+4,2.29304668E+4,2.16725762E+4,2.15604082E+4,2.28102871E+4,2.22574551E+4,2.29545039E+4,2.21292637E+4,
704.00,3.59784595E+3,3.68618579E+3,4.29653467E+3,4.73020361E+3,4.74626563E+3,6.04727197E+3,6.48094092E+3,7.99878223E+3,9.44434570E+3,1.12673613E+4,1.31947783E+4,1.49294541E+4,1.83024355E+4,1.97319355E+4,2.14585801E+4,2.23500117E+4,2.44862324E+4,2.52652305E+4,2.69918750E+4,2.82446953E+4,2.79555840E+4,2.78029961E+4,2.83731914E+4,2.86623027E+4,2.28238340E+4,2.27435254E+4,2.29121738E+4,2.35707090E+4,2.27354941E+4,2.26873086E+4,2.19805898E+4,
704.2500,3.86477246E+3,4.20293994E+3,4.97589453E+3,4.62162402E+3,5.74079736E+3,6.74724854E+3,7.59266748E+3,9.29155762E+3,9.94373730E+3,1.19888467E+4,1.34944971E+4,1.65943672E+4,1.81483281E+4,2.12965078E+4,2.23110098E+4,2.46137695E+4,2.58778730E+4,2.66910859E+4,2.75848145E+4,2.85993164E+4,2.84302324E+4,2.82692012E+4,2.88247617E+4,2.78344141E+4,2.18762227E+4,2.21660801E+4,2.25847637E+4,2.22868555E+4,2.19325840E+4,2.17554492E+4,2.16668809E+4,
704.500,4.39943359E+3,4.69003809E+3,4.64160400E+3,5.61835889E+3,6.08655566E+3,7.08752734E+3,8.08042725E+3,9.08139941E+3,1.02196016E+4,1.18260000E+4,1.39571016E+4,1.58460322E+4,1.83484629E+4,2.04876367E+4,2.16258379E+4,2.33856113E+4,2.47094785E+4,2.64369629E+4,2.58961152E+4,2.61947910E+4,2.74460059E+4,2.61947910E+4,2.75267305E+4,2.65419023E+4,2.17388516E+4,2.11414980E+4,2.13836680E+4,2.10284844E+4,2.05522148E+4,1.99387168E+4,1.98014863E+4,
704.7500,4.00610547E+3,4.00610547E+3,4.75067480E+3,5.12295898E+3,5.74613135E+3,6.14269531E+3,7.06531348E+3,7.80178955E+3,8.94292285E+3,1.07881592E+4,1.23906016E+4,1.44138867E+4,1.65261973E+4,1.85494824E+4,2.00062480E+4,2.08803086E+4,2.16086914E+4,2.33325293E+4,2.31140156E+4,2.33406230E+4,2.35348594E+4,2.32596914E+4,2.39799805E+4,2.31706680E+4,1.90026992E+4,1.87841836E+4,1.76835156E+4,1.88003711E+4,1.83552480E+4,1.71736484E+4,1.76268652E+4,
705.00,3.77299585E+3,3.60260229E+3,4.13001025E+3,4.74667188E+3,5.42824561E+3,5.60675293E+3,6.38569385E+3,6.89687402E+3,8.48721191E+3,9.37974902E+3,1.07915791E+4,1.29417813E+4,1.47187402E+4,1.56193906E+4,1.67796895E+4,1.77290234E+4,1.90840566E+4,1.97412871E+4,1.97575156E+4,2.10882070E+4,1.99360234E+4,2.12504863E+4,2.12667129E+4,2.04309746E+4,1.67796895E+4,1.57248730E+4,1.62117109E+4,1.55463652E+4,1.53922002E+4,1.55869355E+4,1.46943984E+4,
705.2500,3.63611035E+3,3.24565552E+3,3.75812744E+3,4.22179248E+3,4.60411279E+3,5.01897119E+3,6.10085596E+3,6.41810059E+3,7.34543066E+3,8.54933301E+3,1.00054043E+4,1.17055088E+4,1.24782842E+4,1.36252451E+4,1.52033330E+4,1.54799053E+4,1.63096221E+4,1.74728516E+4,1.78551719E+4,1.76599453E+4,1.74321797E+4,1.83107031E+4,1.85791406E+4,1.80504004E+4,1.43329443E+4,1.42434658E+4,1.40889102E+4,1.44305586E+4,1.34544209E+4,1.37798008E+4,1.36577832E+4,
705.500,2.64222681E+3,3.27016333E+3,3.54743408E+3,3.91440991E+3,4.36293604E+3,4.59127686E+3,5.23552344E+3,5.63511914E+3,6.71973682E+3,7.51077393E+3,8.70140723E+3,1.02345508E+4,1.10337432E+4,1.25668867E+4,1.34802490E+4,1.45730215E+4,1.46708818E+4,1.54537646E+4,1.51846484E+4,1.61387861E+4,1.57555000E+4,1.53722139E+4,1.59349102E+4,1.49563076E+4,1.21836006E+4,1.28196924E+4,1.28686230E+4,1.27707627E+4,1.21754463E+4,1.18084697E+4,1.18329346E+4,
705.7500,2.96774487E+3,3.14760815E+3,3.22118848E+3,3.40922754E+3,3.79348096E+3,4.64374365E+3,4.60286572E+3,5.01982178E+3,5.91096289E+3,6.96561572E+3,8.42904883E+3,8.82147852E+3,9.95788770E+3,1.12169307E+4,1.19772617E+4,1.18546279E+4,1.32117783E+4,1.37023145E+4,1.39148799E+4,1.38658271E+4,1.44462949E+4,1.46670361E+4,1.48877773E+4,1.39557588E+4,1.15357793E+4,1.15603057E+4,1.11024717E+4,1.16420625E+4,1.12005791E+4,1.10207158E+4,1.11188232E+4,
706.00,3.00801563E+3,2.75393262E+3,3.12276270E+3,3.61453638E+3,3.54077026E+3,3.72928369E+3,4.10631006E+3,4.74561572E+3,5.32754785E+3,5.77834033E+3,7.50774463E+3,7.77002393E+3,8.54866504E+3,1.02043037E+4,1.03928164E+4,1.15238965E+4,1.19255117E+4,1.23681074E+4,1.25648174E+4,1.25156396E+4,1.33024775E+4,1.30401982E+4,1.29008623E+4,1.30156094E+4,9.44205469E+3,1.00813604E+4,1.01551260E+4,1.09091787E+4,1.00813604E+4,1.00157900E+4,9.67974512E+3,
706.2500,2.61278198E+3,2.46488867E+3,2.62921460E+3,3.02359668E+3,3.24543677E+3,3.59873730E+3,3.97668701E+3,4.41215039E+3,4.60934180E+3,5.82535352E+3,6.00611182E+3,7.55077539E+3,8.47100098E+3,9.01327637E+3,9.42409082E+3,1.01306924E+4,1.07222656E+4,1.10180518E+4,1.16342744E+4,1.16096250E+4,1.15849766E+4,1.17328701E+4,1.18232490E+4,1.16260576E+4,9.06257422E+3,9.60484961E+3,9.76095898E+3,9.75274219E+3,9.24333203E+3,9.08722266E+3,9.26798145E+3,
706.500,2.35560986E+3,2.25677319E+3,2.62741113E+3,2.72624780E+3,3.23690454E+3,3.39339600E+3,3.72285205E+3,4.46412793E+3,4.76063818E+3,5.31247705E+3,6.21024414E+3,6.83621045E+3,7.41275830E+3,7.92341504E+3,8.77176465E+3,9.44714844E+3,9.99898730E+3,9.71071387E+3,1.00731152E+4,1.10367734E+4,1.05590625E+4,1.06331904E+4,1.07814453E+4,1.05343535E+4,8.87883691E+3,8.98591016E+3,9.07651074E+3,8.93649219E+3,8.68116406E+3,8.21992578E+3,8.38465332E+3,
706.7500,2.48521729E+3,2.48521729E+3,2.33659961E+3,2.33659961E+3,2.97235303E+3,3.24481860E+3,3.59984961E+3,3.88882837E+3,4.29339893E+3,5.01171729E+3,5.29243945E+3,6.21717139E+3,7.15016016E+3,7.19969922E+3,7.63729590E+3,8.61156738E+3,9.28034668E+3,9.56932520E+3,9.94912598E+3,9.74271289E+3,1.00812305E+4,9.94086914E+3,1.00399473E+4,1.05931357E+4,7.86022217E+3,8.62808008E+3,7.97581348E+3,8.08314844E+3,8.20699707E+3,8.38864063E+3,7.74463086E+3,
707.00,2.49956543E+3,2.34230811E+3,2.58233252E+3,2.48301196E+3,2.99616797E+3,3.15342529E+3,3.50104712E+3,3.82383862E+3,4.08869312E+3,4.76738330E+3,5.16466504E+3,6.13304004E+3,6.77034619E+3,6.74551611E+3,7.88770166E+3,7.96219189E+3,8.45051758E+3,8.76503223E+3,9.02988770E+3,9.12920801E+3,9.07127051E+3,9.40233887E+3,9.40233887E+3,9.60098047E+3,7.47386621E+3,7.80493457E+3,7.39109912E+3,7.36626904E+3,7.41592920E+3,6.83656006E+3,7.10969141E+3,
707.2500,2.12387866E+3,2.43914209E+3,2.23173193E+3,2.37277075E+3,2.89544409E+3,3.31856055E+3,3.21900366E+3,3.70019507E+3,3.88271582E+3,4.59620654E+3,5.27651123E+3,5.27651123E+3,6.18911523E+3,6.83623486E+3,7.06853369E+3,7.25935107E+3,8.22173340E+3,7.96454541E+3,8.46232910E+3,8.42084766E+3,8.37106934E+3,8.17195508E+3,8.55358984E+3,8.38766211E+3,7.24275830E+3,7.13490527E+3,6.42141455E+3,6.86942041E+3,7.19297998E+3,7.01875537E+3,6.62882471E+3,
707.500,2.01250305E+3,2.32019971E+3,2.20377393E+3,2.63621265E+3,2.86074805E+3,2.91896094E+3,2.96885791E+3,3.39298022E+3,3.65909644E+3,4.18301270E+3,4.30775439E+3,5.12273486E+3,5.87118652E+3,6.42005078E+3,6.66121875E+3,6.76932861E+3,7.36808984E+3,7.56767676E+3,8.08327686E+3,8.07496045E+3,7.93358643E+3,8.43255371E+3,8.46581836E+3,7.91695410E+3,6.20383154E+3,6.41173486E+3,6.56974121E+3,6.55310889E+3,6.28699316E+3,6.01256055E+3,6.47826416E+3,
707.7500,1.73386377E+3,2.05062744E+3,2.10897852E+3,2.48409326E+3,2.39239868E+3,2.60913159E+3,2.76751343E+3,3.22598682E+3,3.40104053E+3,4.01789575E+3,4.12626221E+3,4.21795703E+3,5.52669092E+3,5.69340869E+3,6.36861523E+3,6.29359229E+3,7.04382178E+3,7.13551611E+3,7.60232568E+3,7.49395947E+3,7.28556201E+3,7.01881396E+3,7.48562354E+3,7.70235645E+3,5.78510303E+3,5.91847754E+3,6.03517969E+3,6.00183594E+3,5.56003418E+3,5.77676709E+3,5.57670605E+3,
708.00,2.13069629E+3,1.80482507E+3,2.34794360E+3,2.23932007E+3,2.23932007E+3,2.44821167E+3,2.91612939E+3,2.86599536E+3,3.43418091E+3,3.80183057E+3,4.11099023E+3,4.63739746E+3,4.86300098E+3,5.42283057E+3,5.27242871E+3,5.82390283E+3,5.96594922E+3,6.39208887E+3,6.68453711E+3,6.65111475E+3,6.10799609E+3,6.04115039E+3,7.09396533E+3,6.20826416E+3,5.33927393E+3,6.04115039E+3,5.95759375E+3,5.44789795E+3,5.32256299E+3,5.28078418E+3,5.11367090E+3,
708.2500,2.19471118E+3,1.78424988E+3,2.07743652E+3,2.07743652E+3,2.14445068E+3,2.37899976E+3,2.56328857E+3,2.73920044E+3,3.14966187E+3,3.21667578E+3,3.97058423E+3,4.18837988E+3,4.69936230E+3,4.86689746E+3,4.96741895E+3,5.52866162E+3,5.84697852E+3,5.99776025E+3,6.09828125E+3,6.08990479E+3,6.19042578E+3,6.19042578E+3,5.85535547E+3,6.67627783E+3,4.59884131E+3,4.80826025E+3,5.05118652E+3,4.90878125E+3,4.61559473E+3,4.88365137E+3,4.68260889E+3,
708.500,1.59559851E+3,1.80554565E+3,1.92311609E+3,2.01549280E+3,2.38499976E+3,2.41019336E+3,2.29262305E+3,2.72931323E+3,3.12401392E+3,3.26677783E+3,3.69507007E+3,4.11496436E+3,4.22413721E+3,4.61043994E+3,5.17309814E+3,5.28227051E+3,5.24028125E+3,5.59299268E+3,5.41663672E+3,6.04647852E+3,5.50901367E+3,5.56779883E+3,5.69376709E+3,5.47542188E+3,4.45087988E+3,4.69441846E+3,4.49286914E+3,4.61043994E+3,4.48447168E+3,4.60204199E+3,4.46767578E+3,
708.7500,1.71748657E+3,1.75116272E+3,1.81851514E+3,1.83535327E+3,2.15527734E+3,1.90270569E+3,2.53413452E+3,2.58464893E+3,2.63516333E+3,3.10663013E+3,3.35920166E+3,3.84750659E+3,4.04956396E+3,4.48735449E+3,4.79044043E+3,4.29371631E+3,4.93356445E+3,5.14404053E+3,4.95882129E+3,4.81569775E+3,5.17771680E+3,4.87463086E+3,5.43870752E+3,4.93356445E+3,4.04114478E+3,4.28529736E+3,4.09165918E+3,4.20952588E+3,4.24320215E+3,4.54628809E+3,4.22636377E+3,
709.00,1.73025293E+3,1.61208936E+3,1.82309570E+3,1.73025293E+3,1.94969958E+3,1.90749829E+3,2.28731006E+3,2.09318408E+3,2.65868140E+3,3.18197729E+3,3.00473193E+3,3.76435522E+3,3.88251880E+3,4.38049414E+3,4.06820435E+3,4.35517334E+3,4.57462012E+3,4.72654443E+3,4.65902246E+3,5.11479639E+3,4.53241846E+3,4.69278369E+3,4.60838086E+3,4.96287158E+3,3.60399023E+3,3.69683301E+3,3.50270703E+3,3.77279541E+3,3.81499658E+3,4.03444336E+3,3.85719800E+3,
709.2500,1.48104492E+3,1.77725391E+3,1.88727429E+3,1.89573743E+3,2.03961035E+3,2.05653662E+3,1.98883167E+3,2.21733569E+3,2.53893408E+3,2.69973315E+3,2.62356519E+3,3.33446680E+3,3.03825781E+3,3.68145435E+3,4.21463037E+3,4.06229443E+3,4.20616748E+3,4.29079834E+3,4.31618799E+3,4.21463037E+3,4.40928223E+3,4.24002002E+3,4.35850342E+3,4.14692578E+3,3.76608545E+3,3.67299121E+3,3.45295044E+3,3.45295044E+3,3.68991748E+3,3.80840112E+3,3.52911841E+3,
709.500,1.34079102E+3,1.84995215E+3,1.91784033E+3,1.94329834E+3,1.59537158E+3,2.07058862E+3,1.78206396E+3,2.12999072E+3,2.24879492E+3,2.46943164E+3,2.58823584E+3,2.88524658E+3,3.02950879E+3,3.19074316E+3,3.53018384E+3,3.77627856E+3,4.03085913E+3,3.71687622E+3,3.76779248E+3,4.05631714E+3,4.21755127E+3,4.24300928E+3,4.50607617E+3,3.91205469E+3,3.22468726E+3,3.26711743E+3,3.65747412E+3,3.51321191E+3,3.22468726E+3,3.49623975E+3,3.42835156E+3,
709.7500,1.44652588E+3,1.56565149E+3,1.48907068E+3,1.68477710E+3,1.97408228E+3,1.66775916E+3,2.04215405E+3,1.93153748E+3,2.16127979E+3,2.46760278E+3,2.32295020E+3,3.05472217E+3,3.13130298E+3,3.21639282E+3,3.20788379E+3,3.87158374E+3,4.18641602E+3,3.32700928E+3,3.97369141E+3,3.93114673E+3,3.95667358E+3,3.62482349E+3,3.65035034E+3,3.82053003E+3,3.37806323E+3,3.27595557E+3,3.53122485E+3,3.52271582E+3,3.37806323E+3,3.29297339E+3,3.24191968E+3,
710.00,1.31392554E+3,1.51869312E+3,1.31392554E+3,1.53575708E+3,1.58694897E+3,1.68080078E+3,1.72346069E+3,1.93676025E+3,1.81731250E+3,2.17565576E+3,2.20125171E+3,2.67904297E+3,3.21655786E+3,3.37866553E+3,3.25068579E+3,3.54077319E+3,3.20802588E+3,3.25068579E+3,3.63462500E+3,3.39572949E+3,3.71994482E+3,3.47251733E+3,4.36837549E+3,3.61756104E+3,3.19949390E+3,3.02032227E+3,3.37013354E+3,3.13123804E+3,3.07151416E+3,3.36160156E+3,3.33600562E+3,
710.2500,1.18910266E+3,1.21476685E+3,1.56550928E+3,1.46285303E+3,1.55695459E+3,1.47996240E+3,1.85636902E+3,2.01890820E+3,2.19855688E+3,2.25843970E+3,2.35254126E+3,3.10535449E+3,2.81449487E+3,3.14812817E+3,3.07969043E+3,3.31922192E+3,3.22512036E+3,3.61863623E+3,3.61008154E+3,3.82394897E+3,3.55875342E+3,3.51597998E+3,3.73840210E+3,3.72129272E+3,3.01125293E+3,3.19945630E+3,3.02836230E+3,3.02836230E+3,3.13957324E+3,3.01125293E+3,2.87437769E+3,
710.500,1.17511182E+3,1.40670313E+3,1.20942163E+3,1.46674536E+3,1.51821008E+3,1.68975928E+3,1.77553394E+3,1.75837903E+3,2.23871655E+3,2.28160400E+3,2.33306860E+3,2.54750513E+3,2.90775830E+3,2.88202612E+3,3.13077222E+3,3.25943433E+3,3.43956079E+3,3.37951855E+3,3.78265918E+3,3.33663135E+3,3.63684229E+3,3.53391284E+3,3.79123657E+3,3.47387061E+3,3.22512427E+3,3.01926538E+3,3.19939209E+3,2.75336426E+3,2.66758960E+3,2.89060352E+3,2.82198389E+3,
710.7500,9.89030945E+2,1.23843872E+3,1.52224768E+3,1.36744275E+3,1.73725439E+3,1.69425305E+3,1.72005383E+3,1.85765820E+3,2.21026929E+3,2.20166895E+3,2.22746973E+3,2.51987891E+3,2.88969043E+3,3.17349927E+3,3.01869458E+3,3.31110376E+3,3.44870801E+3,3.22510107E+3,3.74111719E+3,3.29390308E+3,3.22510107E+3,3.29390308E+3,3.52611035E+3,3.50890991E+3,2.68328394E+3,2.96709277E+3,2.92409155E+3,2.88109009E+3,2.74348584E+3,2.87248999E+3,2.92409155E+3,
711.00,1.30209216E+3,1.44006213E+3,1.31933838E+3,1.51767029E+3,1.62114783E+3,1.77636414E+3,1.56940906E+3,1.85397229E+3,2.12128931E+3,2.18165112E+3,2.37998291E+3,2.34549048E+3,2.30237476E+3,2.81113940E+3,2.88874756E+3,3.29403442E+3,3.23367261E+3,3.15606445E+3,3.29403442E+3,3.49236646E+3,3.22504956E+3,3.29403442E+3,3.41475830E+3,3.10432568E+3,2.49208374E+3,2.91461694E+3,2.64730005E+3,2.63005371E+3,2.82838550E+3,3.14744141E+3,2.56969189E+3,
711.2500,1.46990112E+3,1.53042651E+3,1.36614343E+3,1.55636597E+3,1.59095178E+3,1.66877014E+3,1.71200256E+3,1.66877014E+3,1.91087146E+3,2.10109399E+3,2.34319531E+3,2.53341797E+3,2.63717554E+3,2.89656982E+3,3.09543896E+3,2.76687280E+3,3.19055005E+3,3.14731763E+3,2.97438818E+3,3.19919653E+3,3.40671216E+3,2.71499390E+3,3.31160083E+3,3.20784302E+3,2.85333740E+3,2.53341797E+3,2.61988257E+3,2.60258960E+3,3.00032764E+3,2.57665015E+3,2.72364038E+3,
711.500,1.36117102E+3,1.39585059E+3,1.55190845E+3,1.35250122E+3,1.69062646E+3,1.68195667E+3,1.75131567E+3,1.98540234E+3,2.06343140E+3,2.12412036E+3,2.05476147E+3,2.44490601E+3,2.90440967E+3,2.77436133E+3,2.76569165E+3,2.89573975E+3,3.02578784E+3,3.27721436E+3,3.27721436E+3,3.18184570E+3,3.31189404E+3,3.28588428E+3,3.39859277E+3,2.89573975E+3,2.44490601E+3,2.60096387E+3,2.41022656E+3,2.69633252E+3,2.54894458E+3,2.42756616E+3,2.48825537E+3,
